Time_panda bufferSize_panda hasThroughput_panda estimatedBW_panda videoLevel_panda tcpThroughput_panda
0.00 0 0.00 0.00 450 0.00
0.00 3 1446.00 1416.67 1200 0.00
0.00 8 1998.00 1500.47 1200 0.00
0.00 15 0.00 1665.00 1200 0.00
0.00 18 1613.00 1758.73 1200 0.00
0.01 21 0.00 1856.58 1200 0.00
0.01 22 0.00 1906.56 1200 0.00
0.01 23 0.00 1957.06 1200 0.00
0.01 24 0.00 2007.98 1200 0.00
0.01 23 1016.00 2007.98 1200 0.00
0.01 24 0.00 2059.23 1200 0.00
0.01 25 0.00 2110.75 1200 0.00
0.01 24 1662.00 2110.75 1200 0.00
0.01 25 0.00 2162.48 1200 0.00
0.01 26 0.00 2214.38 1200 0.00
0.01 25 1482.00 2214.38 1200 0.00
0.02 26 0.00 2266.42 1200 0.00
0.02 27 0.00 2318.56 1200 0.00
0.02 26 0.00 2318.56 1200 0.00
0.02 25 3592.00 2318.56 1950 0.00
0.02 26 0.00 2370.80 1950 0.00
0.02 25 660.00 2370.80 1950 0.00
0.02 26 0.00 2428.68 1950 0.00
0.02 25 0.00 2428.68 1950 0.00
0.02 26 0.00 2491.08 1950 0.00
0.03 25 0.00 2491.08 1950 0.00
0.03 26 0.00 2557.09 1950 0.00
0.03 25 0.00 2557.09 1950 0.00
0.03 26 0.00 2626.00 1950 0.00
0.03 25 0.00 2626.00 1950 0.00
0.03 26 0.00 2697.22 1950 0.00
0.03 25 0.00 2697.22 1950 0.00
0.03 26 0.00 2770.29 1950 0.00
0.03 25 0.00 2770.29 1950 0.00
0.03 26 0.00 2844.84 1950 0.00
0.04 25 0.00 2844.84 1950 0.00
0.04 26 0.00 2920.54 1950 0.00
0.04 25 0.00 2920.54 1950 0.00
0.04 26 0.00 2997.20 1950 0.00
0.04 25 0.00 2997.20 1950 0.00
0.04 26 0.00 3074.61 1950 0.00
0.04 25 0.00 3074.61 1950 0.00
0.04 26 0.00 3152.64 1950 0.00
0.04 25 523.00 3152.64 1950 0.00
0.04 26 0.00 3231.16 1950 0.00
0.04 25 1556.00 3231.16 1950 0.00
0.05 26 0.00 3310.04 1950 0.00
0.05 25 2851.00 3310.04 1950 0.00
0.05 26 0.00 3389.23 1950 0.00
0.05 27 0.00 3468.68 1950 0.00
0.05 26 0.00 3468.68 1950 0.00
0.05 27 0.00 3548.33 1950 0.00
0.05 26 0.00 3548.33 1950 0.00
0.05 27 0.00 3628.15 1950 0.00
0.05 26 0.00 3628.15 1950 0.00
0.06 25 3117.00 3628.15 3050 0.00
0.06 26 0.00 3708.10 3050 0.00
0.06 25 0.00 3708.10 3050 0.00
0.06 26 0.00 3796.32 3050 0.00
0.06 25 0.00 3796.32 3050 0.00
0.06 24 4059.00 3796.32 3050 0.00
0.06 25 0.00 3891.15 3050 0.00
0.06 24 450.00 3891.15 3050 0.00
0.06 25 0.00 3991.28 3050 0.00
0.06 24 0.00 3991.28 3050 0.00
0.07 23 3682.00 3991.28 3050 0.00
0.07 24 0.00 4110.96 3050 0.00
0.07 23 0.00 4110.96 3050 0.00
0.07 24 0.00 4239.87 3050 0.00
0.07 23 0.00 4239.87 3050 0.00
0.07 24 0.00 4376.16 3050 0.00
0.07 23 0.00 4376.16 3050 0.00
0.07 22 5206.00 4376.16 3050 0.00
